代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,换手率,市盈率,振幅,最高,最低,今开,昨收,量比,市净率,评分
300149,睿智医药,0.1242,0.2,0.0207,706432,834996578,0.1489,6.5412,0.2029,0.1242,0.1032,0.1043,0.1035,0.0482,0.0493,10.4
301392,汇成真空,1.2758,0.2,0.2126,87850,1071630078,0.21530000000000002,5.4198,0.18530000000000002,1.2758,1.0788,1.09,1.0632,0.0454,0.1759,10.4
688090,瑞松科技,0.5618,0.14,0.069,66841,356995965,0.0546,5.7715,0.1252,0.5628,0.5011,0.5011,0.4928,0.026699999999999998,0.0762,10.280000000000001
300831,派瑞股份,0.1752,0.1061,0.0168,355251,612909150,0.19260000000000002,7.5632,0.1199,0.18100000000000002,0.162,0.16510000000000002,0.15839999999999999,0.0276,0.061,10.2122
300486,东杰智能,0.25329999999999997,0.1056,0.0242,218763,531607379,0.045899999999999996,10.8521,0.1523,0.26289999999999997,0.228,0.233,0.2291,0.0235,0.0721,10.2112
688048,长光华芯,2.272,0.10289999999999999,0.212,161566,3533623981,0.0917,20.515100000000004,0.0907,2.293,2.1061,2.17,2.06,0.0103,0.1333,10.2058
