文件名,文件大小(字节),文件大小(可读),glenwrt路径,glenhouse-pc路径
the.lord.of.the.rings.the.rings.of.power.s02e07.hdr.2160p.web.h265.mkv,10426033111,9.71 GB,/Volumes/Media_Lib/TV-Series/指环王：力量之戒/S02/the.lord.of.the.rings.the.rings.of.power.s02e07.hdr.2160p.web.h265.mkv,/Volumes/Media_Lib-1/the.lord.of.the.rings.the.rings.of.power.s02e07.hdr.2160p.web.h265.mkv
the.lord.of.the.rings.the.rings.of.power.s02e08.hdr.2160p.web.h265.mkv,10544144711,9.82 GB,/Volumes/Media_Lib/TV-Series/指环王：力量之戒/S02/the.lord.of.the.rings.the.rings.of.power.s02e08.hdr.2160p.web.h265.mkv,/Volumes/Media_Lib-1/the.lord.of.the.rings.the.rings.of.power.s02e08.hdr.2160p.web.h265.mkv
人民的名义 01.mp4,2512555868,2.34 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 01.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 01.mp4
人民的名义 02.mp4,2351494594,2.19 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 02.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 02.mp4
人民的名义 03.mp4,2297807503,2.14 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 03.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 03.mp4
人民的名义 04.mp4,2673617141,2.49 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 04.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 04.mp4
人民的名义 05.mp4,2931315179,2.73 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 05.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 05.mp4
人民的名义 06.mp4,2609192632,2.43 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 06.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 06.mp4
人民的名义 07.mp4,2211908157,2.06 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 07.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 07.mp4
人民的名义 08.mp4,2587717795,2.41 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 08.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 08.mp4
人民的名义 09.mp4,2029372047,1.89 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 09.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 09.mp4
人民的名义 10.mp4,2856153251,2.66 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 10.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 10.mp4
人民的名义 11.mp4,2190433320,2.04 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 11.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 11.mp4
人民的名义 12.mp4,2029372047,1.89 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 12.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 12.mp4
人民的名义 13.mp4,2297807503,2.14 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 13.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 13.mp4
人民的名义 14.mp4,2287070085,2.13 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 14.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 14.mp4
人民的名义 15.mp4,1954210119,1.82 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 15.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 15.mp4
人民的名义 16.mp4,2029372047,1.89 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 16.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 16.mp4
人民的名义 17.mp4,2480343613,2.31 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 17.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 17.mp4
人民的名义 18.mp4,2909840343,2.71 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 18.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 18.mp4
人民的名义 19.mp4,2083059138,1.94 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 19.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 19.mp4
人民的名义 20.mp4,2340757176,2.18 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 20.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 20.mp4
人民的名义 21.mp4,2265595248,2.11 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 21.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 21.mp4
人民的名义 22.mp4,2168958484,2.02 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 22.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 22.mp4
人民的名义 23.mp4,2609192632,2.43 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 23.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 23.mp4
人民的名义 24.mp4,2276332666,2.12 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 24.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 24.mp4
人民的名义 25.mp4,2308544921,2.15 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 25.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 25.mp4
人民的名义 26.mp4,2297807503,2.14 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 26.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 26.mp4
人民的名义 27.mp4,2233382993,2.08 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 27.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 27.mp4
人民的名义 28.mp4,2899102924,2.70 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 28.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 28.mp4
人民的名义 29.mp4,2458868776,2.29 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 29.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 29.mp4
人民的名义 30.mp4,2437393940,2.27 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 30.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 30.mp4
人民的名义 31.mp4,2072321720,1.93 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 31.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 31.mp4
人民的名义 32.mp4,2072321720,1.93 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 32.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 32.mp4
人民的名义 33.mp4,1932735283,1.80 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 33.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 33.mp4
人民的名义 34.mp4,2276332666,2.12 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 34.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 34.mp4
人民的名义 35.mp4,2287070085,2.13 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 35.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 35.mp4
人民的名义 36.mp4,2383706849,2.22 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 36.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 36.mp4
人民的名义 37.mp4,2136746229,1.99 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 37.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 37.mp4
人民的名义 38.mp4,2222645575,2.07 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 38.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 38.mp4
人民的名义 39.mp4,2276332666,2.12 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 39.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 39.mp4
人民的名义 40.mp4,2405181685,2.24 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 40.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 40.mp4
人民的名义 41.mp4,2104533975,1.96 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 41.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 41.mp4
人民的名义 42.mp4,1879048192,1.75 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 42.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 42.mp4
人民的名义 43.mp4,2007897210,1.87 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 43.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 43.mp4
人民的名义 44.mp4,2609192632,2.43 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 44.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 44.mp4
人民的名义 45.mp4,2126008811,1.98 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 45.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 45.mp4
人民的名义 46.mp4,2265595248,2.11 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 46.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 46.mp4
人民的名义 47.mp4,2147483648,2.00 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 47.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 47.mp4
人民的名义 48.mp4,2491081031,2.32 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 48.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 48.mp4
人民的名义 49.mp4,3038689361,2.83 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 49.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 49.mp4
人民的名义 50.mp4,2362232012,2.20 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 50.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 50.mp4
人民的名义 51.mp4,2190433320,2.04 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 51.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 51.mp4
人民的名义 52.mp4,2254857830,2.10 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 52.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 52.mp4
人民的名义 53.mp4,2770253905,2.58 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 53.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 53.mp4
人民的名义 54.mp4,2083059138,1.94 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 54.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 54.mp4
人民的名义 55.mp4,1567663063,1.46 GB,/Volumes/Media_Lib/TV-Series/2017.人民的名义.55集全.1080p/人民的名义 55.mp4,/Volumes/Media_Lib-1/2017.人民的名义.55集全.1080p/人民的名义 55.mp4
八角笼中.Never.Say.Never.2023.60FPS.2160p.WEB-DL.H265.10bit.DDP5.1-OurTV.mp4,22505628631,20.96 GB,/Volumes/Media_Lib/Movies/0-Latest Movies/八角笼中.Never.Say.Never.2023.60FPS.2160p.WEB-DL.H265.10bit.DDP5.1-OurTV/八角笼中.Never.Say.Never.2023.60FPS.2160p.WEB-DL.H265.10bit.DDP5.1-OurTV.mp4,/Volumes/Media_Lib-1/八角笼中.Never.Say.Never.2023.60FPS.2160p.WEB-DL.H265.10bit.DDP5.1-OurTV/八角笼中.Never.Say.Never.2023.60FPS.2160p.WEB-DL.H265.10bit.DDP5.1-OurTV.mp4
忠犬八公.Hachiko.2023.2160p.WEB-DL.H265.10bit.DDP2.0-OurTV.mp4,19112604467,17.80 GB,/Volumes/Media_Lib/Movies/0-Latest Movies/忠犬八公.Hachiko.2023.2160p.WEB-DL.H265.10bit.DDP2.0-OurTV/忠犬八公.Hachiko.2023.2160p.WEB-DL.H265.10bit.DDP2.0-OurTV.mp4,/Volumes/Media_Lib-1/忠犬八公.Hachiko.2023.2160p.WEB-DL.H265.10bit.DDP2.0-OurTV/忠犬八公.Hachiko.2023.2160p.WEB-DL.H265.10bit.DDP2.0-OurTV.mp4
悬崖之上.Cliff.Walkers.2021.1080p.WEB-DL.H264.AAC-SharkWEB.mp4,1642824990,1.53 GB,/Volumes/Media_Lib/Movies/0-Latest Movies/悬崖之上.Cliff.Walkers.2021.1080p.WEB-DL.H264.AAC-SharkWEB/悬崖之上.Cliff.Walkers.2021.1080p.WEB-DL.H264.AAC-SharkWEB.mp4,/Volumes/Media_Lib-1/悬崖之上.Cliff.Walkers.2021.1080p.WEB-DL.H264.AAC-SharkWEB/悬崖之上.Cliff.Walkers.2021.1080p.WEB-DL.H264.AAC-SharkWEB.mp4
沙丘2024.Dune.Part.Two.2024.REPACK.2160p.UPSCALE.WEB.HEVC.10Bit.AAC.2.0-R&H[DiY@DB].mkv,23310934999,21.71 GB,/Volumes/Media_Lib/Movies/0-Latest Movies/Dune.Part.Two.2024.REPACK.2160p.UPSCALE.WEB.HEVC.10Bit.AAC.2.0-R&H/沙丘2024.Dune.Part.Two.2024.REPACK.2160p.UPSCALE.WEB.HEVC.10Bit.AAC.2.0-R&H[DiY@DB].mkv,/Volumes/Media_Lib-1/Dune.Part.Two.2024.REPACK.2160p.UPSCALE.WEB.HEVC.10Bit.AAC.2.0-R&H/沙丘2024.Dune.Part.Two.2024.REPACK.2160p.UPSCALE.WEB.HEVC.10Bit.AAC.2.0-R&H[DiY@DB].mkv
网络迷踪2.2023.1080p.H264.mp4,4048006676,3.77 GB,/Volumes/Media_Lib/Movies/0-Latest Movies/网络迷踪2.2023.1080p.H264.mp4,/Volumes/Media_Lib-1/网络迷踪2.2023.1080p.H264.mp4
长安三万里.Chang.An.2023.2160p.HQ.WEB-DL.DDP.AAC.H.265-HDSWEB.mkv,25598005084,23.84 GB,/Volumes/Media_Lib/Movies/0-Latest Movies/长安三万里.Chang.An.2023.2160p.HQ.WEB-DL.DDP.AAC.H.265-HDSWEB.mkv,/Volumes/Media_Lib-1/长安三万里.Chang.An.2023.2160p.HQ.WEB-DL.DDP.AAC.H.265-HDSWEB.mkv
